source;target;pre_link;post_link
71645;1885;0;1
8054;1948;1;1
3723;1948;1;1
8158;2962;0;1
92218;2962;0;1
38961;2962;0;1
8147;2962;0;1
8141;2962;0;1
8052;3719;1;0
80672;3719;1;0
57772;3719;1;0
84454;3719;0;1
8042;3719;1;0
8132;3723;1;1
109329;3723;0;1
100272;3723;1;1
8128;3723;1;1
102130;3723;0;1
8142;3723;1;1
64655;3723;0;1
8151;3723;1;0
1948;3723;1;1
38967;3723;1;0
65591;3723;0;1
55724;8037;0;1
85773;8037;1;0
8045;8039;1;1
38933;8040;1;1
89910;8040;0;1
8050;8040;1;0
8048;8041;1;0
8050;8041;1;0
8055;8042;1;1
8052;8042;1;0
57772;8042;1;1
8051;8042;0;1
3719;8042;1;0
113133;8042;0;1
38938;8042;0;1
8039;8045;1;1
38933;8047;0;1
8041;8048;1;0
68016;8049;1;0
38937;8049;1;1
8105;8049;1;1
68560;8049;1;1
8117;8049;0;1
8285;8049;1;1
8284;8049;1;1
8112;8049;1;1
8082;8049;1;1
56576;8049;0;1
76847;8049;0;1
55572;8049;1;1
39034;8049;1;1
91368;8049;0;1
39044;8049;1;1
39043;8049;0;1
38951;8049;1;0
39028;8049;1;1
8041;8050;1;0
76403;8050;0;1
8040;8050;1;0
38933;8050;1;0
8042;8051;0;1
8055;8051;0;1
57772;8052;1;1
80672;8052;1;0
3719;8052;1;0
8055;8052;1;1
8042;8052;1;0
8178;8053;1;0
38934;8054;0;1
1948;8054;1;1
8061;8054;1;1
8060;8054;1;1
65383;8054;1;1
78878;8054;0;1
8042;8055;1;1
8052;8055;1;1
57772;8055;1;1
8059;8055;1;0
80672;8055;1;0
8051;8055;0;1
57108;8059;1;1
8140;8059;1;1
8055;8059;1;0
113133;8059;1;0
8054;8060;1;1
38931;8060;1;0
38934;8061;1;0
38931;8061;1;1
65383;8061;0;1
116369;8061;0;1
8054;8061;1;1
113222;8077;1;1
38958;8077;1;1
8163;8077;1;1
67334;8077;1;1
8167;8077;1;1
8113;8077;1;1
73252;8077;1;1
38966;8077;1;1
38957;8077;1;1
101310;8077;0;1
66876;8077;1;0
55572;8082;1;1
8285;8082;1;1
8124;8082;0;1
8112;8082;1;1
8284;8082;1;1
39034;8082;1;1
8049;8082;1;1
68016;8082;1;0
39043;8082;0;1
39044;8082;1;1
56576;8082;0;1
8105;8082;1;1
38951;8082;1;0
8095;8082;0;1
91368;8082;0;1
38937;8082;1;1
64594;8082;1;0
76847;8082;0;1
8117;8082;0;1
68560;8082;1;1
8097;8082;1;0
39028;8082;1;1
8088;8082;0;1
108814;8082;1;0
80517;8082;0;1
8275;8082;1;0
112880;8082;0;1
104677;8088;0;1
69473;8088;0;1
8163;8088;0;1
67334;8088;0;1
93349;8088;0;1
112880;8088;1;1
80517;8088;1;1
8167;8088;0;1
67401;8088;0;1
8124;8088;1;1
73252;8088;0;1
107177;8088;0;1
8082;8088;0;1
54674;8088;0;1
59177;8088;0;1
93674;8088;0;1
92254;8088;0;1
112049;8088;0;1
8117;8088;0;1
65591;8088;0;1
105143;8088;0;1
38966;8088;0;1
8105;8088;0;1
116057;8088;0;1
96773;8088;0;1
66046;8088;0;1
38951;8089;0;1
70477;8089;1;0
38953;8089;1;0
74508;8089;1;0
8107;8089;1;0
8118;8089;0;1
8095;8089;1;0
8155;8089;1;0
38960;8089;1;0
58004;8095;1;1
113222;8095;0;1
8082;8095;0;1
74508;8095;1;1
70477;8095;1;1
38953;8095;1;1
8107;8095;1;1
38960;8095;1;1
66876;8095;1;1
8089;8095;1;0
108814;8097;1;0
80335;8097;0;1
76112;8097;0;1
63189;8097;0;1
82784;8097;0;1
8082;8097;1;0
39034;8105;1;1
38937;8105;1;1
68016;8105;1;1
8285;8105;1;1
39028;8105;1;1
76847;8105;0;1
8112;8105;1;1
55572;8105;1;1
68560;8105;1;1
8082;8105;1;1
39044;8105;1;1
38951;8105;1;0
8088;8105;0;1
8049;8105;1;1
91368;8105;0;1
8124;8105;0;1
8284;8105;1;1
56576;8105;0;1
8275;8105;1;0
112880;8105;0;1
8117;8105;0;1
80517;8105;0;1
64594;8105;1;0
39043;8105;0;1
38953;8107;1;1
66876;8107;1;1
38960;8107;1;1
70477;8107;1;1
58004;8107;1;1
74508;8107;1;1
8095;8107;1;1
113222;8107;0;1
8089;8107;1;0
8105;8112;1;1
64594;8112;1;1
8117;8112;0;1
8285;8112;1;1
68016;8112;1;0
39034;8112;1;1
38937;8112;1;1
68560;8112;1;1
55572;8112;1;1
39044;8112;1;1
8082;8112;1;1
8049;8112;1;1
8272;8112;0;1
38951;8112;1;0
8284;8112;1;1
56576;8112;0;1
8275;8112;1;0
76847;8112;0;1
8195;8112;1;1
39028;8112;1;1
91368;8112;0;1
39043;8112;0;1
67334;8113;1;1
38966;8113;1;1
78878;8113;0;1
8167;8113;1;1
8163;8113;1;1
73252;8113;1;1
113222;8113;1;1
54674;8113;0;1
38958;8113;1;1
8077;8113;1;1
84924;8113;0;1
59056;8113;0;1
66876;8113;1;0
68560;8117;0;1
8088;8117;0;1
8049;8117;0;1
8082;8117;0;1
76847;8117;0;1
38937;8117;0;1
112880;8117;0;1
39034;8117;0;1
39044;8117;0;1
8285;8117;0;1
55572;8117;0;1
56576;8117;0;1
8284;8117;0;1
39043;8117;0;1
8105;8117;0;1
8124;8117;0;1
8112;8117;0;1
91368;8117;0;1
80517;8117;0;1
38951;8118;1;1
8089;8118;0;1
80517;8124;1;1
93674;8124;0;1
66046;8124;0;1
112880;8124;1;1
8088;8124;1;1
8167;8124;0;1
8163;8124;0;1
8105;8124;0;1
54674;8124;0;1
107177;8124;0;1
104677;8124;0;1
67334;8124;0;1
69473;8124;0;1
105143;8124;0;1
65591;8124;0;1
116057;8124;0;1
73252;8124;0;1
8117;8124;0;1
67401;8124;0;1
38966;8124;0;1
96773;8124;0;1
92254;8124;0;1
8082;8124;0;1
93349;8124;0;1
112049;8124;0;1
59177;8124;0;1
38967;8128;1;1
100272;8128;1;1
8129;8128;1;1
8151;8128;1;1
8177;8128;1;1
8173;8128;1;1
3723;8128;1;1
8142;8128;1;0
8177;8129;1;1
8151;8129;1;1
100272;8129;1;1
8128;8129;1;1
38967;8129;1;1
55419;8129;0;1
8180;8131;1;0
74874;8131;1;0
8196;8131;1;0
8152;8131;1;0
8170;8131;1;0
8174;8131;1;0
8192;8131;1;1
67854;8131;0;1
8162;8131;1;0
116164;8131;0;1
8172;8131;1;0
73416;8131;1;1
99982;8131;0;1
8189;8131;1;0
8207;8131;1;0
8145;8131;1;0
72482;8131;1;0
110015;8131;0;1
80543;8131;0;1
38963;8131;1;0
38981;8131;0;1
8139;8131;1;0
67854;8132;0;1
74874;8132;0;1
8142;8132;1;1
101514;8132;0;1
8174;8132;0;1
99982;8132;0;1
8207;8132;1;1
8152;8132;0;1
3723;8132;1;1
64655;8132;0;1
38966;8132;1;0
109329;8132;0;1
72482;8132;0;1
65591;8132;0;1
38978;8132;0;1
8160;8132;1;0
63823;8132;1;0
8171;8132;0;1
8143;8132;1;0
85657;8132;0;1
102130;8132;0;1
8208;8132;0;1
8145;8132;0;1
80543;8132;0;1
38971;8133;1;0
8168;8133;1;1
83029;8133;1;1
57780;8133;1;1
71267;8133;1;0
8191;8133;1;1
8162;8133;1;1
38966;8133;1;0
74874;8133;1;1
38963;8133;1;1
8146;8133;1;1
8172;8133;1;1
8159;8133;1;0
8171;8133;1;1
55384;8133;1;1
85657;8133;1;1
116164;8133;1;1
92198;8133;0;1
38981;8135;1;0
8159;8135;1;1
38972;8135;1;1
8164;8135;1;0
38962;8135;1;0
73531;8135;0;1
8166;8135;1;0
8144;8135;1;0
8157;8135;1;0
38961;8137;1;0
38965;8137;1;1
8147;8137;1;0
38964;8137;1;0
8172;8138;1;0
107883;8138;1;0
76713;8138;1;0
63999;8138;0;1
92226;8138;0;1
8152;8139;1;1
8208;8139;1;1
67854;8139;1;1
55384;8139;1;1
8196;8139;1;1
8174;8139;1;1
8146;8139;1;1
57780;8139;1;0
8145;8139;1;0
8170;8139;1;1
38971;8139;1;1
8187;8139;1;1
38981;8139;0;1
8192;8139;1;1
8131;8139;1;0
8168;8139;1;1
8198;8139;1;1
81094;8139;1;0
73416;8139;0;1
8202;8139;1;1
8172;8139;1;1
38963;8139;1;1
72482;8139;1;0
74874;8139;1;1
8162;8139;1;1
108768;8139;0;1
8180;8139;1;1
87237;8139;1;1
83029;8139;0;1
8171;8139;0;1
8059;8140;1;1
8158;8141;1;1
38964;8141;1;1
38965;8141;1;0
85889;8141;0;1
8147;8141;0;1
2962;8141;0;1
38961;8141;0;1
3723;8142;1;1
109329;8142;0;1
65591;8142;0;1
8132;8142;1;1
8151;8142;1;0
8128;8142;1;0
38967;8142;1;0
102130;8142;0;1
63823;8142;1;0
64655;8142;0;1
100272;8142;1;0
55419;8143;1;1
8160;8143;1;1
8132;8143;1;0
70898;8143;1;0
68065;8143;1;0
38962;8144;1;1
8157;8144;1;1
76713;8144;1;1
8135;8144;1;0
108768;8144;1;0
107883;8144;1;1
38981;8144;1;0
8159;8144;1;0
8175;8144;0;1
74874;8145;0;1
